location,people_vaccinated_per_hundred,date,gdp_per_capita,continent,population,country_code
Hong Kong,64.23,2021-12-24,56054.92,Asia,7552800.0,HKG
Nepal,41.28,2021-12-20,2442.804,Asia,29674920.0,NPL
Bosnia and Herzegovina,27.05,2021-11-30,11713.895,Europe,3263459.0,BIH
Bahamas,39.23,2021-12-22,27717.847,North America,396914.0,BHS
Chile,89.55,2021-12-22,22767.037,South America,19212362.0,CHL
Indonesia,56.24,2021-12-24,11188.744,Asia,276361788.0,IDN
South Sudan,2.0,2021-12-15,1569.888,Africa,11381377.0,SSD
Montenegro,44.97,2021-12-24,16409.288,Europe,628051.0,MNE
Brunei,91.75,2021-12-14,71809.251,Asia,441532.0,BRN
Fiji,73.26,2021-12-20,8702.975,Oceania,902899.0,FJI
Oman,59.76,2021-12-19,37960.709,Asia,5223376.0,OMN
Portugal,90.28,2021-12-24,27936.896,Europe,10167923.0,PRT
Nauru,70.01,2021-08-31,12895.635,Oceania,10873.0,NRU
Bahrain,68.57,2021-12-24,43290.705,Asia,1748295.0,BHR
Guinea-Bissau,19.33,2021-12-23,1548.675,Africa,2015490.0,GNB
Mauritius,73.59,2021-12-23,20292.745,Africa,1273428.0,MUS
Qatar,80.54,2021-09-11,116935.6,Asia,2930524.0,QAT
Greece,71.46,2021-12-24,24574.382,Europe,10370747.0,GRC
Jamaica,23.86,2021-12-24,8193.571,North America,2973462.0,JAM
Eswatini,28.38,2021-12-23,7738.975,Africa,1172369.0,SWZ
Thailand,72.58,2021-12-23,16277.671,Asia,69950844.0,THA
Zimbabwe,27.14,2021-12-24,1899.775,Africa,15092171.0,ZWE
Saint Vincent and the Grenadines,29.94,2021-12-17,10727.146,North America,111269.0,VCT
Kazakhstan,47.02,2021-12-24,24055.588,Asia,18994958.0,KAZ
Mauritania,23.41,2021-12-23,3597.633,Africa,4775110.0,MRT
Isle of Man,80.33,2021-12-24,-inf,Europe,85410.0,IMN
Mozambique,24.39,2021-12-20,1136.103,Africa,32163045.0,MOZ
Namibia,15.45,2021-12-23,9541.808,Africa,2587344.0,NAM
Philippines,50.53,2021-12-02,7599.188,Asia,111046910.0,PHL
Zambia,4.26,2021-11-11,3689.251,Africa,18920657.0,ZMB
Senegal,7.72,2021-12-15,2470.58,Africa,17196308.0,SEN
Albania,39.39,2021-12-23,11803.431,Europe,2872934.0,ALB
Uruguay,79.3,2021-12-24,20551.409,South America,3485152.0,URY
Cyprus,71.53,2021-12-21,32415.132,Europe,896005.0,CYP
Equatorial Guinea,17.19,2021-12-22,22604.873,Africa,1449891.0,GNQ
Lebanon,32.46,2021-12-24,13367.565,Asia,6769151.0,LBN
Burundi,0.03,2021-12-23,702.225,Africa,12255429.0,BDI
Norway,78.3,2021-12-23,64800.057,Europe,5465629.0,NOR
South Korea,85.54,2021-12-23,35938.374,Asia,51305184.0,KOR
Cook Islands,73.08,2021-12-20,-inf,Oceania,17572.0,COK
Sweden,76.15,2021-12-23,46949.283,Europe,10160159.0,SWE
Nigeria,4.37,2021-12-22,5338.454,Africa,211400704.0,NGA
Seychelles,83.23,2021-12-17,26382.287,Africa,98910.0,SYC
Trinidad and Tobago,50.4,2021-12-24,28763.071,North America,1403374.0,TTO
Haiti,1.06,2021-12-17,1653.173,North America,11541683.0,HTI
Moldova,24.6,2021-12-05,5189.972,Europe,4024025.0,MDA
Comoros,31.78,2021-12-10,1413.89,Africa,888456.0,COM
Northern Cyprus,74.39,2021-11-26,-inf,Asia,-inf,OWID_CYN
Cayman Islands,88.08,2021-12-17,49903.029,North America,66498.0,CYM
Faeroe Islands,84.37,2021-12-22,-inf,Europe,49053.0,FRO
Australia,79.09,2021-12-24,44648.71,Oceania,25788217.0,AUS
Turkey,66.76,2021-12-24,25129.341,Asia,85042736.0,TUR
New Caledonia,63.32,2021-12-20,-inf,Oceania,288217.0,NCL
Brazil,77.52,2021-12-23,14103.452,South America,213993441.0,BRA
Ethiopia,7.89,2021-12-23,1729.927,Africa,117876226.0,ETH
Sudan,8.94,2021-12-15,4466.507,Africa,44909351.0,SDN
Tonga,68.95,2021-12-20,5425.621,Oceania,106759.0,TON
Chad,1.69,2021-12-15,1768.153,Africa,16914985.0,TCD
Djibouti,10.87,2021-12-15,2705.406,Africa,1002197.0,DJI
Cape Verde,53.89,2021-12-17,6222.554,Africa,561901.0,CPV
Austria,72.84,2021-12-23,45436.686,Europe,9043072.0,AUT
